# lane=local seed=1001 blocks=46 restart=0 iteration=15257 uncovered=64 concentration=380 hash=7448308235252690845
1 2 3 8 11 13 15 31
1 4 10 23 24 26 29 36
1 5 13 27 32 40 43 44
1 7 14 33 34 35 41 46
1 12 16 17 22 38 42 47
1 16 19 20 36 37 45 46
1 17 18 21 29 30 33 48
2 4 14 17 19 32 41 48
2 5 16 21 24 25 31 40
2 6 10 13 18 26 42 46
2 7 10 31 35 37 38 45
2 7 12 23 30 36 39 43
2 9 22 29 31 32 46 47
2 16 18 23 27 28 33 44
3 4 5 18 22 33 37 40
3 6 14 24 27 31 36 47
3 7 8 16 26 30 32 35
3 9 12 21 27 34 42 45
3 10 15 17 25 28 43 46
3 19 20 26 27 29 38 48
3 20 28 30 31 39 41 42
4 6 8 25 28 29 43 45
4 7 19 21 35 42 44 47
4 8 18 19 31 34 38 43
4 11 13 21 30 38 39 46
4 12 13 14 15 16 20 29
5 6 7 9 17 20 35 40
5 8 9 26 29 39 40 41
5 8 23 36 40 42 46 48
5 10 12 15 19 30 34 40
5 11 14 28 38 40 45 47
6 11 15 22 36 38 41 44
6 12 21 26 28 32 33 36
6 25 30 34 37 39 47 48
7 11 12 18 25 27 35 41
7 13 22 24 28 34 35 48
8 10 20 21 22 33 43 47
8 12 17 24 27 37 44 46
9 10 11 16 24 41 43 48
9 10 14 22 27 30 39 44
9 13 15 21 23 37 41 47
9 13 19 24 25 33 36 38
11 14 25 26 29 37 42 43
11 19 20 22 23 25 32 34
15 18 24 32 33 39 42 45
17 23 26 31 34 44 45 48
