1 2 3 4 5 6 7 8
1 5 15 20 31 40 42 46
1 6 11 22 27 34 40 43
1 9 10 24 27 39 44 47
1 9 12 19 22 32 36 46
1 12 20 25 34 39 45 47
1 13 17 18 30 32 33 41
1 16 21 23 26 29 35 48
2 4 11 21 23 32 39 42
2 5 12 18 27 35 37 48
2 8 10 17 28 29 40 45
2 9 15 24 31 34 41 43
2 15 19 26 29 33 35 47
2 15 20 22 30 36 38 44
3 4 15 23 31 36 45 48
3 4 16 18 30 40 44 47
3 5 11 17 26 34 39 46
3 10 14 22 25 28 33 42
3 10 20 32 35 37 41 43
3 13 19 24 27 38 42 45
4 8 9 11 20 27 33 48
4 10 12 24 26 29 38 41
4 16 17 19 25 37 43 44
4 16 20 24 28 35 38 46
5 7 9 18 23 25 38 43
5 11 14 19 24 30 36 47
5 16 21 32 33 34 44 45
6 8 15 21 25 30 37 46
6 8 16 19 22 31 39 41
6 9 12 17 30 33 35 42
6 10 18 20 26 36 42 43
6 13 23 28 31 37 44 47
6 14 17 31 32 38 47 48
7 9 22 26 29 37 42 45
7 10 19 28 30 34 39 48
7 11 12 18 21 31 35 44
7 13 24 25 32 36 40 48
7 14 16 17 21 27 36 41
8 12 14 23 26 28 40 44
8 13 14 18 29 34 39 43
9 10 11 12 13 14 15 16
17 18 19 20 21 22 23 24
25 26 27 28 29 30 31 32
33 34 35 36 37 38 39 40
41 42 43 44 45 46 47 48
